Format :

name
found in file
CRC (hex)		Hash Code (dec)
audio\sounds\ambiences\zone_nebula_dmatter.wav      AUDIO\ambience_sounds.ini       0x10517fcc		2770263747
zone_nebula_edge        AUDIO\ambience_sounds.ini       0xe4c064ee		2896338700
audio\sounds\ambiences\zone_nebula_edge.wav         AUDIO\ambience_sounds.ini       0xfbe4f9b0		3170440461
zone_nebula_walker      AUDIO\ambience_sounds.ini       0x08a0986b		2506720778
audio\sounds\ambiences\zone_nebula_walker.wav       AUDIO\ambience_sounds.ini       0xefa26068		2500651393
zone_badlands       AUDIO\ambience_sounds.ini       0xe839a365		2440800647
audio\sounds\ambiences\zone_badlands.wav        AUDIO\ambience_sounds.ini       0x07202c66		2483390411
zone_field_asteroid_nomad       AUDIO\ambience_sounds.ini       0x127dc8d7		2176964161
audio\sounds\ambiences\zone_field_asteroid_nomad.wav        AUDIO\ambience_sounds.ini       0x0ce1b025		2153838153
zone_nebula_nomad       AUDIO\ambience_sounds.ini       0xf08aad87		2450373063
audio\sounds\ambiences\zone_nebula_nomad.wav        AUDIO\ambience_sounds.ini       0x0139194b		2474375296
interior_thruster_sound         AUDIO\engine_sounds.ini         0x119cd8cb		2664120778
audio\sounds\engines\thruster_01.wav        AUDIO\engine_sounds.ini         0x1af07e13		2630342927
exterior_thruster_sound         AUDIO\engine_sounds.ini         0xf9c18c53		2672679616
audio\sounds\engines\ge_s_thruster_01.wav       AUDIO\engine_sounds.ini         0x1db9d050		3209237961
engine_thruster         AUDIO\engine_sounds.ini         0x10d5b89b		2487733259
ge_s_thruster_01        AUDIO\engine_sounds.ini         0xf826c05d		2314753344
ge_s_thruster_02        AUDIO\engine_sounds.ini         0xe32f91e7		2851612992
audio\sounds\engines\ge_s_thruster_02.wav       AUDIO\engine_sounds.ini         0x11414aa0		2806584841
ge_s_thruster_03        AUDIO\engine_sounds.ini         0xea28a171		2314747200
audio\sounds\engines\ge_s_thruster_03.wav       AUDIO\engine_sounds.ini         0x09c6c1cf		2940802889
ge_s_thruster_04        AUDIO\engine_sounds.ini         0x0e4c34d2		2851656000
audio\sounds\engines\ge_s_thruster_04.wav       AUDIO\engine_sounds.ini         0x09b07fbf		2538148233
engine_br_fighter_kill      AUDIO\engine_sounds.ini         0x04c61493		2243074319
audio\sounds\engines\engine_br_fighter_kill.wav         AUDIO\engine_sounds.ini         0xec12ca29		3028736134
engine_br_freighter_kill        AUDIO\engine_sounds.ini         0x14c12b60		2669464132
audio\sounds\engines\engine_br_freighter_kill.wav       AUDIO\engine_sounds.ini         0xecc998d0		3211522434
engine_bw_fighter_kill      AUDIO\engine_sounds.ini         0x19567de4		2163396879
audio\sounds\engines\engine_bw_fighter_kill.wav         AUDIO\engine_sounds.ini         0xf3ade0ba		3033446530
engine_bw_freighter_kill        AUDIO\engine_sounds.ini         0xe40b003d		3045613390
audio\sounds\engines\engine_bw_freighter_kill.wav       AUDIO\engine_sounds.ini         0xf57c9760		3211765130
engine_ci_fighter_kill      AUDIO\engine_sounds.ini         0xfa5c0a09		3209786632
audio\sounds\engines\engine_ci_fighter_kill.wav         AUDIO\engine_sounds.ini         0xef3280f4		3172941259
engine_ci_freighter_kill        AUDIO\engine_sounds.ini         0x1d8c8a09		2387004228
audio\sounds\engines\engine_ci_freighter_kill.wav       AUDIO\engine_sounds.ini         0x0c40882c		3201441605
engine_ku_fighter_kill      AUDIO\engine_sounds.ini         0xe8eb248d		2294412353
audio\sounds\engines\engine_ku_fighter_kill.wav         AUDIO\engine_sounds.ini         0x11bd19bd		2531181260
engine_ku_freighter_kill        AUDIO\engine_sounds.ini         0x044dc83e		2497670593
audio\sounds\engines\engine_ku_freighter_kill.wav       AUDIO\engine_sounds.ini         0x1226a90f		3020503823
engine_li_fighter_kill      AUDIO\engine_sounds.ini         0xfcb5bef7		2676930699
audio\sounds\engines\engine_li_fighter_kill.wav         AUDIO\engine_sounds.ini         0x05091068		2248101195
engine_li_freighter_kill        AUDIO\engine_sounds.ini         0x11eb3746		3014004040
audio\sounds\engines\engine_li_freighter_kill.wav       AUDIO\engine_sounds.ini         0x0b533445		2989360837
engine_oe_h_fighter_kill        AUDIO\engine_sounds.ini         0xefde6f71		2875606338
audio\sounds\engines\engine_oe_h_fighter_kill.wav       AUDIO\engine_sounds.ini         0xe4ce8ca2		3014870404
engine_pi_fighter_kill      AUDIO\engine_sounds.ini         0x03e14b70		2654276549
audio\sounds\engines\engine_pi_fighter_kill.wav         AUDIO\engine_sounds.ini         0xffaffc76		2759829123
engine_pi_freighter_kill        AUDIO\engine_sounds.ini         0x0c84c00d		2148357381
audio\sounds\engines\engine_pi_freighter_kill.wav       AUDIO\engine_sounds.ini         0xfcba5f6f		2837328005
engine_rh_fighter_kill      AUDIO\engine_sounds.ini         0x109003ff		2322680717
audio\sounds\engines\engine_rh_fighter_kill.wav         AUDIO\engine_sounds.ini         0x089ca180		2702681738
engine_rh_freighter_kill        AUDIO\engine_sounds.ini         0xe6129e5a		2856568142
audio\sounds\engines\engine_rh_freighter_kill.wav       AUDIO\engine_sounds.ini         0xf322c32e		2878828935
rumble_bw_fighter       AUDIO\engine_sounds.ini         0xf4b251e1		3191388233
audio\sounds\engines\rumble_bw_fighter.wav      AUDIO\engine_sounds.ini         0x1108e5d6		3130434182
rumble_bw_freighter         AUDIO\engine_sounds.ini         0xe809ec40		2166425858
audio\sounds\engines\rumble_bw_freighter.wav        AUDIO\engine_sounds.ini         0x19313b3c		3077787339
rumble_bw_h_fighter         AUDIO\engine_sounds.ini         0x194a9ecb		2946282695
audio\sounds\engines\rumble_bw_h_fighter.wav        AUDIO\engine_sounds.ini         0x11100406		3011404494
rumble_ci_fighter       AUDIO\engine_sounds.ini         0xf1c04eca		2848041993
audio\sounds\engines\rumble_ci_fighter.wav      AUDIO\engine_sounds.ini         0x10962ced		2714307718
rumble_ci_h_fighter         AUDIO\engine_sounds.ini         0x08806b25		2954633280
audio\sounds\engines\rumble_ci_h_fighter.wav        AUDIO\engine_sounds.ini         0xf94890b4		2428878210
rumble_fighter      AUDIO\engine_sounds.ini         0xe2c417d4		3078877901
audio\sounds\engines\rumble_fighter.wav         AUDIO\engine_sounds.ini         0x076f8df5		2621859524
rumble_freighter        AUDIO\engine_sounds.ini         0x1321dc25		2940235727
audio\sounds\engines\rumble_freighter.wav       AUDIO\engine_sounds.ini         0x08b3b350		2155165956
rumble_h_fighter        AUDIO\engine_sounds.ini         0xe262aeae		2180895242
audio\sounds\engines\rumble_h_fighter.wav       AUDIO\engine_sounds.ini         0x00928c6a		2222462209
rumble_nomad        AUDIO\engine_sounds.ini         0x1c7ba008		3111255426
audio\sounds\engines\rumble_nomad.wav       AUDIO\engine_sounds.ini         0xf9a20870		2793621895
rumble_oe_h_fighter         AUDIO\engine_sounds.ini         0x0972ef2f		3170505484
audio\sounds\engines\rumble_oe_h_fighter.wav        AUDIO\engine_sounds.ini         0x11ba9c29		2307768205
rumble_pi_fighter       AUDIO\engine_sounds.ini         0xf2fe7889		2513687049
audio\sounds\engines\rumble_pi_fighter.wav      AUDIO\engine_sounds.ini         0x1923e0d9		2567468164
rumble_pi_freighter         AUDIO\engine_sounds.ini         0x052f93cf		2661819712
audio\sounds\engines\rumble_pi_freighter.wav        AUDIO\engine_sounds.ini         0xf649db57		2426853389
rumble_pi_h_fighter         AUDIO\engine_sounds.ini         0xf46ce144		2954205317
audio\sounds\engines\rumble_pi_h_fighter.wav        AUDIO\engine_sounds.ini         0xfe68e46d		2494297096
rumble_cruiser      AUDIO\engine_sounds.ini         0xea928a4a		2870647499
audio\sounds\engines\rumble_cruiser.wav         AUDIO\engine_sounds.ini         0xf553d635		3182727940
rumble_destroyer        AUDIO\engine_sounds.ini         0xe46bca55		2551985282
audio\sounds\engines\rumble_destroyer.wav       AUDIO\engine_sounds.ini         0x065ec09e		2861455104
rumble_gunboat      AUDIO\engine_sounds.ini         0xe98ae039		2525506831
audio\sounds\engines\rumble_gunboat.wav         AUDIO\engine_sounds.ini         0x0cb91670		2914771914
rumble_transport        AUDIO\engine_sounds.ini         0xf808f35a		3062804802
audio\sounds\engines\rumble_transport.wav       AUDIO\engine_sounds.ini         0x016e5a76		2726511232
rumble_utility_small        AUDIO\engine_sounds.ini         0xf2111ee3		2860408014
audio\sounds\engines\rumble_utility_small.wav       AUDIO\engine_sounds.ini         0xfc1dccb5		2739068163
engine_bw_fighter_start         AUDIO\engine_sounds.ini         0xed03b3af		2773421704
audio\sounds\engines\engine_bw_fighter_start.wav        AUDIO\engine_sounds.ini         0xf9fa385b		3170411919
engine_bw_freighter_start       AUDIO\engine_sounds.ini         0xfcf184a2		3218852806
audio\sounds\engines\engine_bw_freighter_start.wav      AUDIO\engine_sounds.ini         0xf3fad2e6		2648732941
engine_br_fighter_start         AUDIO\engine_sounds.ini         0xf97fc759		2231732745
audio\sounds\engines\engine_br_fighter_start.wav        AUDIO\engine_sounds.ini         0xf2e3458f		2493035983
engine_br_freighter_start       AUDIO\engine_sounds.ini         0xffdb63c0		2874902990
audio\sounds\engines\engine_br_freighter_start.wav      AUDIO\engine_sounds.ini         0x1882d465		2578742669
engine_ci_fighter_start         AUDIO\engine_sounds.ini         0x055b271d		2264191428
audio\sounds\engines\engine_ci_fighter_start.wav        AUDIO\engine_sounds.ini         0x1c82cbac		2373517517
engine_ci_freighter_start       AUDIO\engine_sounds.ini         0x05bcf79d		2438073611
audio\sounds\engines\engine_ci_freighter_start.wav      AUDIO\engine_sounds.ini         0x0469e342		2690269773
engine_ku_fighter_start         AUDIO\engine_sounds.ini         0x179cd70a		2523807754
audio\sounds\engines\engine_ku_fighter_start.wav        AUDIO\engine_sounds.ini         0x1d7cbd01		2895366917
engine_ku_freighter_start       AUDIO\engine_sounds.ini         0xe71893d0		2298069004
audio\sounds\engines\engine_ku_freighter_start.wav      AUDIO\engine_sounds.ini         0xe410f411		2608550927
engine_li_fighter_start         AUDIO\engine_sounds.ini         0x0b5811b2		3106483918
audio\sounds\engines\engine_li_fighter_start.wav        AUDIO\engine_sounds.ini         0x0dd12f53		2367028416
engine_li_freighter_start       AUDIO\engine_sounds.ini         0xe9d3cc21		2441800967
audio\sounds\engines\engine_li_freighter_start.wav      AUDIO\engine_sounds.ini         0xfe002902		3158687310
engine_oe_h_fighter_start       AUDIO\engine_sounds.ini         0x0b905c76		2983107456
audio\sounds\engines\engine_oe_h_fighter_start.wav      AUDIO\engine_sounds.ini         0xfa81c361		2701526926
engine_pi_fighter_start         AUDIO\engine_sounds.ini         0x027b53c4		2191169614
audio\sounds\engines\engine_pi_fighter_start.wav        AUDIO\engine_sounds.ini         0xe324b4dc		2381237386
engine_pi_freighter_start       AUDIO\engine_sounds.ini         0xfac03bce		3133896776
audio\sounds\engines\engine_pi_freighter_start.wav      AUDIO\engine_sounds.ini         0xe94c09bf		2357087817
engine_rh_fighter_start         AUDIO\engine_sounds.ini         0xf56fbc3d		2798699722
audio\sounds\engines\engine_rh_fighter_start.wav        AUDIO\engine_sounds.ini         0x130dd0a8		2246853067
engine_rh_freighter_start       AUDIO\engine_sounds.ini         0x152569c7		2488141568
audio\sounds\engines\engine_rh_freighter_start.wav      AUDIO\engine_sounds.ini         0x1698e025		2235434185
engine_bw_fighter_loop      AUDIO\engine_sounds.ini         0xf9fe7019		2560974082
audio\sounds\engines\engine_bw_fighter_loop.wav         AUDIO\engine_sounds.ini         0x116ba1dc		2873192578
engine_bw_freighter_loop        AUDIO\engine_sounds.ini         0x04a30dc0		2917126979
audio\sounds\engines\engine_bw_freighter_loop.wav       AUDIO\engine_sounds.ini         0x17bad606		2699062666
engine_br_fighter_loop      AUDIO\engine_sounds.ini         0xe46e196e		2649036034
audio\sounds\engines\engine_br_fighter_loop.wav         AUDIO\engine_sounds.ini         0x0ed48b4f		2869497990
engine_br_freighter_loop        AUDIO\engine_sounds.ini         0xf469269d		2269857353
audio\sounds\engines\engine_br_freighter_loop.wav       AUDIO\engine_sounds.ini         0x0e0fd9b6		2699311490
engine_ci_fighter_loop      AUDIO\engine_sounds.ini         0x1af407f4		2802252037
audio\sounds\engines\engine_ci_fighter_loop.wav         AUDIO\engine_sounds.ini         0x0df4c192		2727409099
engine_ci_freighter_loop        AUDIO\engine_sounds.ini         0xfd2487f4		2517714761
audio\sounds\engines\engine_ci_freighter_loop.wav       AUDIO\engine_sounds.ini         0xee86c94a		2707281733
engine_ku_fighter_loop      AUDIO\engine_sounds.ini         0x08432970		2425780300
audio\sounds\engines\engine_ku_fighter_loop.wav         AUDIO\engine_sounds.ini         0xf37b58db		2303789772
engine_ku_freighter_loop        AUDIO\engine_sounds.ini         0xe4e5c5c3		2357780940
audio\sounds\engines\engine_ku_freighter_loop.wav       AUDIO\engine_sounds.ini         0xf0e0e869		2877747983
engine_li_fighter_loop      AUDIO\engine_sounds.ini         0x1c1db30a		2279158918
audio\sounds\engines\engine_li_fighter_loop.wav         AUDIO\engine_sounds.ini         0xe7cf510e		2591065419
engine_li_freighter_loop        AUDIO\engine_sounds.ini         0xf1433abb		2884731205
audio\sounds\engines\engine_li_freighter_loop.wav       AUDIO\engine_sounds.ini         0xe9957523		2913062597
engine_no_loop      AUDIO\engine_sounds.ini         0xf8d51ec7		3072939905
audio\sounds\engines\engine_no_loop.wav         AUDIO\engine_sounds.ini         0x14138e03		2261188043
engine_oe_h_fighter_loop        AUDIO\engine_sounds.ini         0x0f76628c		3006384463
audio\sounds\engines\engine_oe_h_fighter_loop.wav       AUDIO\engine_sounds.ini         0x0608cdc4		2889649540
engine_pi_fighter_loop      AUDIO\engine_sounds.ini         0xe349468d		2254604232
audio\sounds\engines\engine_pi_fighter_loop.wav         AUDIO\engine_sounds.ini         0x1d69bd10		3153096323
engine_pi_freighter_loop        AUDIO\engine_sounds.ini         0xec2ccdf0		2556090632
audio\sounds\engines\engine_pi_freighter_loop.wav       AUDIO\engine_sounds.ini         0x1e7c1e09		3063019653
engine_rh_fighter_loop      AUDIO\engine_sounds.ini         0xf0380e02		2452014976
audio\sounds\engines\engine_rh_fighter_loop.wav         AUDIO\engine_sounds.ini         0xea5ae0e6		3197660810
engine_rh_freighter_loop        AUDIO\engine_sounds.ini         0x06ba93a7		2987673923
audio\sounds\engines\engine_rh_freighter_loop.wav       AUDIO\engine_sounds.ini         0x11e48248		3021519239
cruise_backfire         AUDIO\engine_sounds.ini         0x0d29fcad		3213097281
audio\sounds\engines\cruise_backfire.wav        AUDIO\engine_sounds.ini         0x02b229a8		2485008199
cruise_disrupt      AUDIO\engine_sounds.ini         0xfd889350		2409209036
audio\sounds\engines\cruise_disrupt.wav         AUDIO\engine_sounds.ini         0x088044c1		2900822855
engine_br_cruise_start      AUDIO\engine_sounds.ini         0xf8f8094e		2510791616
audio\sounds\engines\engine_br_cruise_start.wav         AUDIO\engine_sounds.ini         0xe9ba6612		3100395277
engine_br_cruise_loop       AUDIO\engine_sounds.ini         0x0eca30e4		3019218955
audio\sounds\engines\engine_br_cruise_loop.wav      AUDIO\engine_sounds.ini         0xe813b309		2728738956
engine_br_cruise_stop       AUDIO\engine_sounds.ini         0x0c9f8fd6		2678968007
audio\sounds\engines\engine_br_cruise_stop.wav      AUDIO\engine_sounds.ini         0xf55f58ef		3003565831
engine_bw_cruise_start      AUDIO\engine_sounds.ini         0xe5686039		2431118272
audio\sounds\engines\engine_bw_cruise_start.wav         AUDIO\engine_sounds.ini         0xf6054c81		3095668489
engine_bw_cruise_loop       AUDIO\engine_sounds.ini         0xf8774e92		2976964875
audio\sounds\engines\engine_bw_cruise_loop.wav      AUDIO\engine_sounds.ini         0xeb39546b		3055878788
engine_bw_cruise_stop       AUDIO\engine_sounds.ini         0xfa22f1a0		2636681159
audio\sounds\engines\engine_bw_cruise_stop.wav      AUDIO\engine_sounds.ini         0xf675bf8d		2810610959
engine_ci_cruise_start      AUDIO\engine_sounds.ini         0x066217d4		2940489671
audio\sounds\engines\engine_ci_cruise_start.wav         AUDIO\engine_sounds.ini         0xea9a2ccf		2975179328
engine_ci_cruise_loop       AUDIO\engine_sounds.ini         0xf9e987a9		2855227147
audio\sounds\engines\engine_ci_cruise_loop.wav      AUDIO\engine_sounds.ini         0x12742754		2561459273
engine_ci_cruise_stop       AUDIO\engine_sounds.ini         0xfbbc389b		2255954375
audio\sounds\engines\engine_ci_cruise_stop.wav      AUDIO\engine_sounds.ini         0x0f38ccb2		2299478978
engine_ku_cruise_start      AUDIO\engine_sounds.ini         0x14d53950		2564083342
audio\sounds\engines\engine_ku_cruise_start.wav         AUDIO\engine_sounds.ini         0x1415b586		2593414471
engine_ku_cruise_loop       AUDIO\engine_sounds.ini         0xf61330ee		2249771402
audio\sounds\engines\engine_ku_cruise_loop.wav      AUDIO\engine_sounds.ini         0xf0d04319		2164721998
engine_ku_cruise_stop       AUDIO\engine_sounds.ini         0xf4468fdc		2856363846
audio\sounds\engines\engine_ku_cruise_stop.wav      AUDIO\engine_sounds.ini         0xed9ca8ff		2426703557
engine_li_cruise_start      AUDIO\engine_sounds.ini         0x008ba32a		2409333316
audio\sounds\engines\engine_li_cruise_start.wav         AUDIO\engine_sounds.ini         0x00a1bc53		2310394560
engine_li_cruise_loop       AUDIO\engine_sounds.ini         0x124bc01f		2783942410
audio\sounds\engines\engine_li_cruise_loop.wav      AUDIO\engine_sounds.ini         0xfe1b1ce8		2557748293
engine_li_cruise_stop       AUDIO\engine_sounds.ini         0x101e7f2d		2310535622
audio\sounds\engines\engine_li_cruise_stop.wav      AUDIO\engine_sounds.ini         0xe357f70e		2312610766
engine_no_cruise_start      AUDIO\engine_sounds.ini         0xeb398926		3055524364
audio\sounds\engines\engine_no_cruise_start.wav         AUDIO\engine_sounds.ini         0xe436491f		2785388431
engine_no_cruise_loop       AUDIO\engine_sounds.ini         0x1af45529		2388002506
audio\sounds\engines\engine_no_cruise_loop.wav      AUDIO\engine_sounds.ini         0x0d7bf3ef		2856029444
engine_no_cruise_stop       AUDIO\engine_sounds.ini         0x18a1ea1b		2718853126
audio\sounds\engines\engine_no_cruise_stop.wav      AUDIO\engine_sounds.ini         0x10371809		3147303567
engine_rh_cruise_start      AUDIO\engine_sounds.ini         0xecae1e22		2590273858
audio\sounds\engines\engine_rh_cruise_start.wav         AUDIO\engine_sounds.ini         0x0d340dbb		2908567809
engine_rh_cruise_loop       AUDIO\engine_sounds.ini         0xe21fd615		3136972617
audio\sounds\engines\engine_rh_cruise_loop.wav      AUDIO\engine_sounds.ini         0x02edb90e		2645610050
engine_rh_cruise_stop       AUDIO\engine_sounds.ini         0xe04a6927		2527201669
audio\sounds\engines\engine_rh_cruise_stop.wav      AUDIO\engine_sounds.ini         0x1fa152e8		2350074313
rumble_miner        AUDIO\engine_sounds.ini         0xf3c68f2c		2916292612
audio\sounds\engines\rumble_miner.wav       AUDIO\engine_sounds.ini         0x0e414ae0		2567571073
rumble_battleship       AUDIO\engine_sounds.ini         0x17bc26c9		2738740683
audio\sounds\engines\rumble_battleship.wav      AUDIO\engine_sounds.ini         0xf4e2f4ae		3182414019
rumble_lifter       AUDIO\engine_sounds.ini         0xe0d2897d		3053038349
audio\sounds\engines\rumble_lifter.wav      AUDIO\engine_sounds.ini         0x039d620c		3025992965
rumble_liner        AUDIO\engine_sounds.ini         0xeb410443		2782075204
audio\sounds\engines\rumble_liner.wav       AUDIO\engine_sounds.ini         0xe330b3c4		2568882059
engine_fp7_lifepod      AUDIO\engine_sounds.ini         0xeec44e4a		2254746315
audio\tone.wav      AUDIO\engine_sounds.ini         0xe50cdefe		2911776648
rumble_fp7_lifepod      AUDIO\engine_sounds.ini         0x19211d42		2327970895
engine_playership       AUDIO\engine_sounds.ini         0xe1b2af4a		3154858568
audio\null.wav      AUDIO\engine_sounds.ini         0xf9c276fe		2439509443
engine_playership_launch        AUDIO\engine_sounds.ini         0x1adf1b0b		2415305288
audio\sounds\engines\engine_ku_freighter_launch.wav         AUDIO\engine_sounds.ini         0xe8fb202e		2511842951
engine_playership_land      AUDIO\engine_sounds.ini         0x1057ff7c		2430419853
audio\sounds\engines\engine_ku_freighter_land.wav       AUDIO\engine_sounds.ini         0xe6d7a1cd		3187882253
engine_playership_start         AUDIO\engine_sounds.ini         0xfd894152		3153436231
engine_playership_kill      AUDIO\engine_sounds.ini         0xf1a4ceb7		2961994635
engine_playership_rumble        AUDIO\engine_sounds.ini         0x039b6577		3196727111
engine_playership_launch_rumble         AUDIO\engine_sounds.ini         0x13bf0c56		3117491722
audio\sounds\engines\rumble_launch.wav      AUDIO\engine_sounds.ini         0xf5d98b6a		2978061453
engine_playership_land_rumble       AUDIO\engine_sounds.ini         0xf47db029		2546747074
audio\sounds\engines\rumble_landing.wav         AUDIO\engine_sounds.ini         0xe4716723		2986240839
engine_playership_launch_turbine        AUDIO\engine_sounds.ini         0xe0a4e2c8		2751108864
audio\sounds\engines\turbine_launch.wav         AUDIO\engine_sounds.ini         0xf357ce78		2225838988
engine_playership_land_turbine      AUDIO\engine_sounds.ini         0x0af94cd9		3196944329
audio\sounds\engines\turbine_landing.wav        AUDIO\engine_sounds.ini         0x0bce982e		2615409353
engine_nd_small         AUDIO\engine_sounds.ini         0xf6f2e097		2401331147
engine_ku_small         AUDIO\engine_sounds.ini         0x001defc6		3194067278
engine_br_large         AUDIO\engine_sounds.ini         0x07c31a4b		2446140098
engine_br_small         AUDIO\engine_sounds.ini         0x1e92958e		2225123527
engine_li_medium        AUDIO\engine_sounds.ini         0xeb785b34		3068756168
engine_li_small         AUDIO\engine_sounds.ini         0xe48650c8		3043046217
engine_no_medium        AUDIO\engine_sounds.ini         0xee2324c6		3064027854
audio\sounds\engines\engine_no.wav      AUDIO\engine_sounds.ini         0x11c06c44		2860577162
engine_rh_medium        AUDIO\engine_sounds.ini         0xf8b8c031		2500958857
engine_rh_small         AUDIO\engine_sounds.ini         0xf1a35805		2957167043
rtc_exterior_thruster_sound         AUDIO\engine_sounds.ini         0x1106174b		2350659404
rtc_rumble_cruiser      AUDIO\engine_sounds.ini         0xfbd09682		3166799181
rtc_rumble_destroyer        AUDIO\engine_sounds.ini         0xe739da1e		2353741839
rtc_engine_li_fighter_loop      AUDIO\engine_sounds.ini         0x0d8b6424		3123346311
rtc_engine_rh_small         AUDIO\engine_sounds.ini         0x140d509b		2337702663
backgroundambient       AUDIO\gf_sounds.ini         0xf816a9d1		2921508749
Audio\null.wav      AUDIO\gf_sounds.ini         0xf9c276fe		2439509443
backgroundmusic         AUDIO\gf_sounds.ini         0xe2c26934		2563145797
2pop01      AUDIO\gf_sounds.ini         0x1c11ce36		2785728585
Audio\2pop01.wav        AUDIO\gf_sounds.ini         0x0efa18f8		2670268101
2pop02      AUDIO\gf_sounds.ini         0x07189f8c		2248844361
Audio\2pop02.wav        AUDIO\gf_sounds.ini         0x02028208		2267614469
mix_s002xe      AUDIO\gf_sounds.ini         0xe95a57cd		3091095625
audio\mixes\mix_s002xe.wav      AUDIO\gf_sounds.ini         0xe6fa6812		2671793421
mix_s010x       AUDIO\gf_sounds.ini         0xe48b594c		2993693636
audio\mixes\mix_s010x.wav       AUDIO\gf_sounds.ini         0x0069007a		2763410114
mix_s019a       AUDIO\gf_sounds.ini         0x07ac4ac5		2471958351
audio\mixes\mix_s019a.wav       AUDIO\gf_sounds.ini         0x0b4c7fcb		2902054272
mix_s019b       AUDIO\gf_sounds.ini         0x1ca51b7f		3008850767
audio\mixes\mix_s019b.wav       AUDIO\gf_sounds.ini         0x07b4e53b		3036272192
mix_s019c       AUDIO\gf_sounds.ini         0x15a22be9		2471984975
audio\mixes\mix_s019c.wav       AUDIO\gf_sounds.ini         0x1f336e54		3170490112
mix_s019d       AUDIO\gf_sounds.ini         0xf1c6be4a		3008861007
audio\mixes\mix_s019d.wav       AUDIO\gf_sounds.ini         0x1f45d024		2230964672
mix_s019e       AUDIO\gf_sounds.ini         0xf8c18edc		2471987023
audio\mixes\mix_s019e.wav       AUDIO\gf_sounds.ini         0x07c25b4b		2365182080
mix_s027a       AUDIO\gf_sounds.ini         0xe3b15b12		2660174223
audio\mixes\mix_s027a.wav       AUDIO\gf_sounds.ini         0xe57a39cb		2741785103
mix_s027b       AUDIO\gf_sounds.ini         0xf8b80aa8		3197072783
audio\mixes\mix_s027b.wav       AUDIO\gf_sounds.ini         0xe982a33b		3144438223
